"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"AJ Griffin","ATL",19,72,34,38,1401.4,639,248,533,101,259,42,47,37,116,153,73,42,42,12,87,1052,0,0
"Aaron Holiday","ATL",26,63,32,31,845.3,247,92,220,36,88,27,32,25,49,74,89,36,37,12,79,580,0,0
"Bogdan Bogdanovic","ATL",30,54,27,27,1508.6,756,273,611,146,360,64,77,23,142,165,150,65,43,18,86,1297,0,0
"Bruno Fernando","ATL",24,39,13,26,405.1,153,59,112,0,4,35,50,54,83,137,31,25,6,34,74,459,1,0
"Clint Capela","ATL",29,65,35,30,1730.1,779,350,536,0,1,79,131,258,459,717,58,54,45,79,139,2044,35,0
"De'Andre Hunter","ATL",25,67,35,32,2125.6,1029,379,822,100,286,171,207,46,238,284,94,82,35,17,199,1585,1,0
"Dejounte Murray","ATL",26,74,38,36,2693.4,1515,612,1319,133,387,158,190,53,336,389,448,160,112,19,106,2887,8,1
"Donovan Williams","ATL",21,2,1,1,4.3,4,2,5,0,2,0,0,0,2,2,0,0,0,0,0,6,0,0
"Garrison Mathews","ATL",26,54,16,38,686.3,257,73,201,63,180,48,53,11,62,73,26,19,24,5,62,452,0,0
"Jalen Johnson","ATL",21,70,35,35,1041.6,395,158,322,30,104,49,78,51,231,282,83,41,38,34,113,1033,1,0
"Jarrett Culver","ATL",24,10,5,5,136.9,44,17,43,1,12,9,13,10,28,38,6,7,6,2,14,116,0,0
"John Collins","ATL",25,71,37,34,2129.6,931,359,707,70,240,143,178,77,385,462,85,79,42,73,220,1879,11,0
"Onyeka Okongwu","ATL",22,80,41,39,1848.6,791,317,497,4,13,153,196,217,359,576,81,81,56,107,251,2012,12,0
"Saddiq Bey","ATL",24,77,24,53,2128.7,1062,353,836,151,418,205,238,98,264,362,118,71,70,13,123,1851,4,0
"Trae Young","ATL",24,73,38,35,2540.7,1914,597,1390,154,460,566,639,56,161,217,741,300,80,9,104,3253,40,0
"Trent Forrest","ATL",25,23,9,14,277,52,25,60,0,2,2,3,5,32,37,38,15,7,2,17,165,0,0
"Tyrese Martin","ATL",24,16,10,6,65.5,21,9,23,1,7,2,2,5,7,12,2,2,1,0,2,39,0,0
"Vit Krejci","ATL",23,29,15,14,165.4,36,15,37,5,21,1,2,6,20,26,17,5,5,1,17,106,0,0
"Alondes Williams","BKN",24,1,1,0,5.3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,-1,0,0
"Ben Simmons","BKN",26,42,24,18,1105,291,133,235,0,2,25,57,40,223,263,256,97,54,24,139,1128,4,1
"Cam Thomas","BKN",21,57,30,27,947.6,604,201,456,51,133,151,174,8,87,95,78,63,20,7,55,853,0,0
"Cameron Johnson","BKN",27,42,25,17,1199.8,650,223,474,103,255,101,120,34,151,185,78,37,50,14,83,1144,1,0
"David Duke Jr.","BKN",23,23,10,13,228,85,36,78,1,12,12,17,11,18,29,21,18,10,1,31,166,0,0
"Day'Ron Sharpe","BKN",21,48,22,26,552.5,227,93,171,6,11,35,55,99,101,200,37,42,15,32,89,622,2,0
"Dorian Finney-Smith","BKN",30,66,31,35,2008.8,551,196,501,114,338,45,59,114,202,316,100,62,55,36,144,1291,2,0
"Dru Smith","BKN",25,15,7,8,158.4,44,18,45,5,19,3,3,2,22,24,22,3,10,4,23,145,0,0
"Edmond Sumner","BKN",27,53,33,20,736.2,378,124,269,31,87,99,108,13,66,79,68,50,31,10,83,648,0,0
"Joe Harris","BKN",31,74,40,34,1527.2,562,201,440,142,333,18,28,23,141,164,101,41,34,13,140,1010,0,0
"Mikal Bridges","BKN",26,83,42,41,2963.2,1671,593,1267,169,442,316,353,79,285,364,273,127,91,61,159,2846,2,0
"Moses Brown","BKN",23,36,17,19,294.1,155,61,96,0,0,33,72,57,82,139,4,15,4,14,39,367,3,0
"Nerlens Noel","BKN",29,17,4,13,194.7,35,13,36,1,2,8,12,10,36,46,10,13,16,10,32,170,0,0
"Nic Claxton","BKN",24,76,41,35,2270.7,961,414,587,0,2,133,246,184,518,702,144,96,65,189,212,2685,28,0
"Patty Mills","BKN",34,40,18,22,566.6,246,86,209,49,134,25,30,8,36,44,56,30,15,3,32,407,0,0
"RaiQuan Gray","BKN",23,1,0,1,35.1,16,6,12,2,5,2,2,3,6,9,7,4,0,1,5,36,0,0
"Royce O'Neale","BKN",30,76,42,34,2409.2,671,229,593,163,419,50,69,55,329,384,283,114,65,49,239,1784,4,1
"Seth Curry","BKN",32,61,37,24,1210.7,561,208,449,94,232,51,55,13,87,100,99,51,36,7,96,908,0,0
"Spencer Dinwiddie","BKN",30,79,41,38,2725.3,1369,460,1050,181,490,268,330,28,242,270,515,145,67,24,187,2594,9,0
"Yuta Watanabe","BKN",28,58,30,28,927.8,322,114,232,60,135,34,47,30,111,141,48,22,25,17,80,667,0,0
"Al Horford","BOS",37,63,44,19,1921.4,616,228,479,145,325,15,21,73,317,390,189,37,30,61,121,1604,7,0
"Blake Griffin","BOS",34,41,27,14,568.9,170,63,130,23,66,21,32,47,108,155,61,22,14,9,75,495,0,0
"Derrick White","BOS",28,82,57,25,2319.3,1017,350,758,149,391,168,192,52,241,293,321,95,54,76,177,2145,7,0
"Grant Williams","BOS",24,79,55,24,2044.8,641,216,476,115,291,94,122,87,276,363,131,82,41,31,192,1407,3,0
"JD Davison","BOS",20,12,11,1,65.7,19,8,19,2,7,1,2,2,7,9,11,4,2,2,5,54,0,0
"Jaylen Brown","BOS",26,67,46,21,2404.9,1784,679,1383,163,487,263,344,78,381,459,232,197,75,26,172,2789,13,0
"Jayson Tatum","BOS",25,74,52,22,2732.2,2225,727,1559,240,686,531,622,78,571,649,342,213,78,51,160,3691,31,1
"Justin Champagnie","BOS",22,5,4,1,34.3,11,5,15,1,5,0,0,3,5,8,4,0,1,0,2,30,0,0
"Justin Jackson","BOS",28,23,15,8,107.4,20,7,27,5,20,1,2,2,15,17,9,2,4,4,7,76,0,0
"Luke Kornet","BOS",27,69,45,24,804.1,261,113,170,3,13,32,39,86,111,197,53,25,11,46,81,723,0,0
"Malcolm Brogdon","BOS",30,67,46,21,1743.8,1000,354,732,132,297,160,184,42,238,280,248,98,45,18,109,1799,0,0
"Marcus Smart","BOS",29,61,43,18,1956.8,703,250,602,115,342,88,118,46,145,191,382,143,93,23,172,1710,6,0
"Mfiondu Kabengele","BOS",25,4,3,1,36.4,6,2,7,0,3,2,2,5,5,10,0,1,2,0,3,23,0,0
"Mike Muscala","BOS",31,63,32,31,945.1,383,131,292,81,207,40,52,37,166,203,50,23,15,24,98,796,0,0
"Noah Vonleh","BOS",27,23,17,6,171.6,25,11,24,1,4,2,2,18,30,48,7,11,2,8,35,112,0,0
"Payton Pritchard","BOS",25,48,32,16,642.8,270,101,245,56,154,12,16,25,63,88,64,40,14,1,37,477,1,1
"Robert Williams III","BOS",25,35,24,11,823.5,279,127,170,0,1,25,41,104,188,292,50,34,22,48,68,880,6,0
"Sam Hauser","BOS",25,80,55,25,1289.9,512,180,396,140,335,12,17,35,169,204,71,30,29,21,99,983,0,0
"Bryce McGowens","CHA",20,46,16,30,787,246,80,202,26,80,60,80,20,73,93,54,43,15,6,48,459,0,0
"Cody Martin","CHA",27,7,2,5,133.7,35,14,36,3,14,4,7,8,16,24,11,2,4,1,13,93,0,0
"Dennis Smith Jr.","CHA",25,54,19,35,1389.8,474,186,452,24,111,78,106,27,140,167,261,82,75,25,122,1284,1,0
"Gordon Hayward","CHA",33,50,20,30,1576.9,733,276,581,52,160,129,159,33,182,215,206,99,42,12,70,1363,2,0
"JT Thor","CHA",20,69,22,47,968.8,262,95,238,39,123,33,47,36,116,152,36,44,22,23,66,589,0,0
"James Bouknight","CHA",22,34,9,25,515.5,191,69,193,33,109,20,30,8,64,72,41,32,14,5,49,364,0,0
"Kai Jones","CHA",22,46,13,33,549.6,157,67,120,4,19,19,26,37,86,123,15,31,17,30,65,437,1,0
"Kelly Oubre Jr.","CHA",27,48,16,32,1547.5,972,353,819,108,339,158,208,65,184,249,54,64,68,18,141,1546,3,0
"Kobi Simmons","CHA",25,5,1,4,27.8,5,1,6,1,5,2,2,1,3,4,5,1,0,2,0,22,0,0
"LaMelo Ball","CHA",21,36,13,23,1267.8,838,296,721,144,383,102,121,42,189,231,304,129,46,11,118,1613,17,3
"Mark Williams","CHA",21,43,18,25,828,387,160,251,0,0,67,97,93,211,304,18,40,28,45,94,958,11,0
"Nick Richards","CHA",25,65,21,44,1217.7,532,197,313,1,1,137,183,147,269,416,38,59,11,71,154,1275,14,0
"P.J. Washington","CHA",24,73,24,49,2379.6,1144,434,978,149,428,127,174,73,285,358,175,110,66,79,193,2161,3,0
"Svi Mykhailiuk","CHA",26,32,16,16,467.9,222,77,173,42,99,26,39,15,38,53,53,24,15,4,23,398,0,0
"Terry Rozier","CHA",29,63,19,44,2220.9,1329,493,1188,165,505,178,220,51,208,259,319,134,74,16,119,2254,1,0
"Theo Maledon","CHA",22,44,14,30,853.7,295,102,254,28,95,63,74,14,109,123,152,59,37,12,61,759,1,0
"Xavier Sneed","CHA",25,4,0,4,48.2,17,5,10,3,6,4,4,0,5,5,5,3,0,1,7,31,0,0
"Alex Caruso","CHI",29,67,33,34,1575.4,374,130,286,55,151,59,73,42,154,196,193,77,98,46,159,1254,1,0
"Andre Drummond","CHI",29,67,32,35,849.1,399,166,274,0,3,67,125,138,306,444,33,75,45,27,117,1122,8,0
"Ayo Dosunmu","CHI",23,80,40,40,2097.6,687,281,570,59,189,66,82,45,175,220,206,99,62,26,182,1425,0,0
"Carlik Jones","CHI",25,7,4,3,56,20,6,15,3,6,5,8,1,4,5,6,2,2,0,2,39,0,0
"Coby White","CHI",23,74,37,37,1730.2,715,263,594,128,344,61,70,16,196,212,204,74,54,6,122,1381,1,0
"Dalen Terry","CHI",20,38,19,19,213.9,85,32,72,7,27,14,21,12,25,37,22,8,11,5,24,202,0,0
"DeMar DeRozan","CHI",33,74,37,37,2681.6,1816,657,1303,46,142,456,523,34,309,343,377,153,83,36,186,2997,6,0
"Derrick Jones Jr.","CHI",26,64,29,35,893.4,319,115,230,27,80,62,84,60,93,153,34,25,29,37,86,727,0,0
"Javonte Green","CHI",29,32,13,19,480.3,165,61,108,13,35,30,45,27,61,88,23,20,24,21,52,420,0,0
"Malcolm Hill","CHI",27,5,4,1,9.2,5,2,4,1,3,0,0,0,3,3,0,0,0,0,1,9,0,0
"Marko Simonovic","CHI",23,7,3,4,19.6,6,2,7,1,4,1,2,1,1,2,0,0,0,0,5,8,0,0
"Nikola Vucevic","CHI",32,82,40,42,2746.4,1447,597,1148,121,347,132,158,159,744,903,265,139,60,57,179,3140,51,1
"Patrick Beverley","CHI",34,67,34,33,1816.5,415,144,360,80,239,47,65,44,203,247,194,60,63,41,187,1254,2,0
"Patrick Williams","CHI",21,82,40,42,2322.8,833,314,677,115,277,90,105,78,249,327,100,101,72,70,147,1700,1,0
"Terry Taylor","CHI",23,31,13,18,263.4,89,39,75,5,19,6,11,27,20,47,10,9,3,6,26,178,0,0
"Tony Bradley","CHI",25,12,5,7,33.4,19,6,12,3,5,4,4,1,10,11,1,1,1,1,2,39,0,0
"Zach LaVine","CHI",28,77,38,39,2767.9,1913,673,1388,204,544,363,428,42,303,345,327,194,69,18,159,2885,2,0
"Caris LeVert","CLE",28,74,45,29,2237.3,897,320,742,127,324,130,180,53,229,282,287,116,72,24,170,1838,1,0
"Cedi Osman","CLE",28,77,48,29,1548.3,669,239,530,116,312,75,108,25,151,176,115,52,35,11,122,1139,1,0
"Danny Green","CLE",36,11,6,5,138.7,61,22,49,16,37,1,1,3,11,14,6,10,6,3,16,104,0,0
"Darius Garland","CLE",23,69,40,29,2447.2,1490,522,1129,169,412,277,321,28,157,185,538,199,85,9,148,2602,18,0
"Dean Wade","CLE",26,44,30,14,891.6,206,73,177,45,127,15,23,20,130,150,37,17,28,21,89,572,0,0
"Donovan Mitchell","CLE",26,68,44,24,2432.4,1922,679,1402,245,635,319,368,63,226,289,301,180,99,27,168,2918,5,0
"Dylan Windler","CLE",26,3,3,0,10.4,5,2,3,1,2,0,0,0,0,0,1,1,1,0,0,9,0,0
"Evan Mobley","CLE",22,79,48,31,2715.3,1277,525,947,22,102,205,304,187,524,711,224,146,60,119,218,2857,24,0
"Isaac Okoro","CLE",22,76,48,28,1652.6,490,175,354,62,171,78,103,52,135,187,87,42,56,30,158,1061,0,0
"Isaiah Mobley","CLE",23,12,8,4,84.2,31,12,28,3,8,4,4,4,16,20,3,1,4,3,8,80,0,0
"Jarrett Allen","CLE",25,68,44,24,2220.1,969,403,626,1,10,162,221,221,445,666,113,93,54,84,153,2259,32,0
"Lamar Stevens","CLE",25,62,39,23,1120.5,328,129,288,30,95,40,57,48,159,207,33,27,27,19,79,737,1,0
"Mamadi Diakite","CLE",26,22,15,7,175.9,57,24,50,7,21,2,2,8,22,30,8,12,4,9,26,132,0,0
"Raul Neto","CLE",31,48,31,17,505.2,157,57,110,12,42,31,34,10,36,46,79,24,17,4,49,370,0,0
"Ricky Rubio","CLE",32,33,23,10,566,171,61,178,21,82,28,35,9,61,70,115,31,26,6,51,493,0,0
"Robin Lopez","CLE",35,37,25,12,298.5,112,48,75,2,4,14,18,23,28,51,19,25,2,8,43,207,0,0
"Sam Merrill","CLE",27,5,4,1,58.5,25,9,22,5,18,2,2,0,9,9,5,0,4,0,3,55,0,0
"A.J. Lawson","DAL",22,15,5,10,108.3,56,22,44,10,25,2,8,6,15,21,2,3,2,0,11,87,0,0
"Chris Silva","DAL",26,1,1,0,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
"Christian Wood","DAL",27,67,33,34,1738.4,1114,396,769,105,279,217,281,87,404,491,121,121,30,72,169,2070,12,0
"Davis Bertans","DAL",30,45,20,25,491.8,206,69,160,55,141,13,15,10,43,53,21,10,11,8,53,348,0,0
"Dwight Powell","DAL",31,76,37,39,1457.9,506,197,269,0,5,112,168,149,165,314,69,65,48,26,209,1143,1,0
"Facundo Campazzo","DAL",32,8,2,6,52.2,10,3,13,3,11,1,2,0,2,2,9,3,6,0,3,41,0,0
"Frank Ntilikina","DAL",24,47,20,27,607.6,135,48,132,17,67,22,33,7,55,62,58,29,16,7,65,336,0,0
"JaVale McGee","DAL",35,42,20,22,354.5,186,80,125,2,5,24,41,30,77,107,11,36,4,26,54,385,0,0
"Jaden Hardy","DAL",20,48,20,28,708.4,420,146,333,63,156,65,79,11,78,89,65,46,17,7,64,650,0,0
"Josh Green","DAL",22,60,27,33,1539.2,546,205,382,68,169,68,94,55,127,182,103,72,42,5,156,988,1,0
"Justin Holiday","DAL",34,46,18,28,706.1,205,77,204,46,143,5,8,5,50,55,41,22,19,19,68,425,0,0
"Kemba Walker","DAL",33,9,5,4,143.9,72,24,57,7,28,17,21,3,13,16,19,4,2,2,11,128,0,0
"Kyrie Irving","DAL",31,60,32,28,2240.6,1623,594,1203,188,496,247,273,59,245,304,331,128,66,45,165,2689,5,0
"Luka Doncic","DAL",24,66,33,33,2390.5,2138,719,1449,185,541,515,694,54,515,569,529,236,90,33,166,3747,36,10
"Markieff Morris","DAL",33,35,17,18,355.1,132,47,115,28,71,10,10,13,58,71,31,18,9,5,48,288,1,0
"Maxi Kleber","DAL",31,37,18,19,929.8,220,77,169,39,112,27,38,30,105,135,52,27,12,30,85,559,0,0
"McKinley Wright IV","DAL",24,27,14,13,335,114,46,98,9,28,13,19,9,38,47,58,19,8,5,24,277,0,0
"Reggie Bullock","DAL",32,78,37,41,2364.5,561,192,470,151,397,26,37,32,251,283,108,36,54,13,166,1228,1,0
"Theo Pinson","DAL",27,40,19,21,323,95,31,87,22,62,11,13,10,53,63,46,12,6,1,34,249,1,1
"Tim Hardaway Jr.","DAL",31,71,37,34,2152.2,1019,340,847,212,550,127,165,21,230,251,129,60,49,12,120,1637,0,0
"Tyler Dorsey","DAL",27,3,2,1,8.3,9,4,5,1,2,0,0,1,1,2,0,0,0,0,0,11,0,0
"Aaron Gordon","DEN",27,68,45,23,2055.1,1109,429,761,60,173,191,314,164,282,446,203,98,54,51,129,2166,11,0
"Bruce Brown","DEN",26,80,53,27,2279.5,923,358,741,91,254,116,153,63,265,328,268,123,87,51,190,2010,3,1
"Christian Braun","DEN",22,76,49,27,1181.1,360,143,289,34,96,40,64,48,133,181,59,35,41,17,101,805,0,0
"DeAndre Jordan","DEN",34,39,23,16,585.9,199,88,115,1,1,22,48,52,150,202,34,48,12,23,71,549,2,0
"Ish Smith","DEN",34,43,25,18,397.9,108,52,131,2,12,2,4,5,49,54,100,44,8,7,33,324,0,0
"Jack White","DEN",25,17,13,4,66,21,8,19,3,9,2,3,6,11,17,4,2,3,2,9,60,0,0
"Jamal Murray","DEN",26,65,43,22,2133.4,1298,473,1041,172,432,180,216,48,209,257,400,145,66,16,103,2307,5,1
"Jeff Green","DEN",36,56,33,23,1091.1,437,160,328,30,104,87,117,38,106,144,69,46,18,17,99,772,0,0
"Kentavious Caldwell-Pope","DEN",30,76,51,25,2381.2,822,292,632,135,319,103,125,35,173,208,183,86,112,35,145,1701,0,0
"Michael Porter Jr.","DEN",25,62,41,21,1797.9,1080,398,817,188,454,96,120,64,277,341,65,68,37,29,119,1717,3,0
"Nikola Jokic","DEN",28,69,48,21,2323,1690,646,1022,57,149,341,415,167,650,817,678,247,87,47,174,3842,58,29
"Peyton Watson","DEN",20,23,13,10,186.1,75,29,59,6,14,11,20,8,29,37,11,8,2,11,14,167,0,0
"Reggie Jackson","DEN",33,68,36,32,1656.9,693,263,640,96,288,71,78,25,119,144,233,115,47,6,114,1259,1,0
"Thomas Bryant","DEN",25,59,33,26,1081.5,579,230,369,26,59,93,126,86,253,339,31,38,16,30,102,1132,9,0
"Vlatko Cancar","DEN",26,60,38,22,889,297,108,227,43,115,38,41,24,104,128,80,37,22,14,84,642,1,0
"Zeke Nnaji","DEN",22,53,34,19,727.8,277,110,196,17,65,40,62,65,73,138,18,31,17,23,105,559,1,0
"Alec Burks","DET",31,51,12,39,1122.4,652,200,459,99,239,153,188,19,139,158,114,58,38,8,98,1093,0,0
"Bojan Bogdanovic","DET",34,59,15,44,1892.9,1273,430,882,145,353,268,303,36,187,223,152,135,34,8,113,1760,0,0
"Braxton Key","DET",26,3,0,3,9.1,4,1,1,0,0,2,2,0,1,1,0,0,0,0,0,5,0,0
"Buddy Boeheim","DET",23,10,2,8,90.1,16,5,27,4,25,2,2,2,4,6,4,0,2,0,6,35,0,0
"Cade Cunningham","DET",21,12,3,9,400.2,239,93,224,17,61,36,43,12,62,74,72,39,10,7,34,448,3,0
"Cory Joseph","DET",31,62,12,50,1227.4,427,150,351,70,180,57,72,21,85,106,217,56,34,9,88,953,0,0
"Eugene Omoruyi","DET",26,40,10,30,645.3,278,101,228,25,89,51,75,43,68,111,28,34,28,3,91,512,0,0
"Hamidou Diallo","DET",24,56,12,44,995.9,522,215,375,5,21,87,148,57,137,194,55,71,53,16,124,973,0,0
"Isaiah Livers","DET",24,52,10,42,1198.7,346,120,288,74,203,32,39,28,115,143,41,30,28,28,103,717,1,0
"Isaiah Stewart","DET",22,50,12,38,1414.1,567,195,441,67,205,110,149,115,288,403,70,68,20,34,133,1250,13,0
"Jaden Ivey","DET",21,74,16,58,2304.3,1204,409,983,120,350,266,356,73,215,288,387,237,61,17,242,2127,8,0
"Jalen Duren","DET",19,67,16,51,1670.1,612,258,398,0,2,96,157,229,366,595,75,92,44,59,182,1656,19,0
"James Wiseman","DET",22,45,11,34,867.2,450,189,339,4,20,68,97,73,194,267,30,51,7,27,108,866,8,0
"Jared Rhoden","DET",23,14,2,12,197.9,45,17,44,5,20,6,6,11,26,37,4,3,4,1,23,107,0,0
"Killian Hayes","DET",21,76,16,60,2153.6,786,307,815,80,286,92,112,28,193,221,470,173,104,28,219,1979,6,0
"Marvin Bagley III","DET",24,42,7,35,990.5,504,202,382,19,66,81,108,94,175,269,36,46,19,30,81,982,8,0
"R.J. Hampton","DET",22,47,9,38,749.6,302,102,237,41,116,57,76,18,69,87,54,42,27,9,51,553,0,0
"Rodney McGruder","DET",31,32,4,28,523.9,183,62,152,41,97,18,22,20,54,74,28,11,16,1,39,354,0,0
"Stanley Umude","DET",24,1,0,1,2.1,2,0,1,0,1,2,2,0,0,0,0,0,1,1,0,8,0,0
"Andre Iguodala","GSW",39,8,3,5,112.6,17,7,15,1,9,2,3,3,14,17,19,9,4,3,11,78,0,0
"Andrew Wiggins","GSW",28,37,19,18,1190.3,633,250,529,89,225,44,72,61,125,186,85,48,45,28,107,1155,3,0
"Anthony Lamb","GSW",25,62,36,26,1195,415,148,314,73,199,46,60,56,159,215,96,54,28,20,134,907,0,0
"Donte DiVincenzo","GSW",26,72,42,30,1894.4,678,235,540,150,378,58,71,80,245,325,252,112,97,10,133,1655,4,0
"Draymond Green","GSW",33,73,41,32,2297.6,617,250,474,40,131,77,108,66,459,525,500,204,74,61,229,2198,11,0
"Gary Payton II","GSW",30,22,13,9,367.6,101,41,69,13,26,6,7,24,45,69,30,16,22,5,43,294,0,0
"JaMychal Green","GSW",33,57,30,27,796.7,366,136,252,42,111,52,67,72,133,205,51,52,25,23,105,781,0,0
"Jonathan Kuminga","GSW",20,67,38,29,1394.4,666,261,497,54,146,90,138,70,161,231,125,95,41,31,157,1252,1,0
"Jordan Poole","GSW",24,82,44,38,2458.1,1675,550,1278,214,637,361,415,32,193,225,369,252,63,21,214,2499,1,0
"Kevon Looney","GSW",27,82,44,38,1957.6,578,242,384,0,1,94,155,274,486,760,207,45,52,50,224,2062,14,0
"Klay Thompson","GSW",33,69,38,31,2278.9,1509,546,1252,301,731,116,132,39,247,286,163,123,49,29,130,2208,2,0
"Lester Quinones","GSW",22,4,4,0,18.1,10,2,5,2,4,4,6,1,2,3,2,5,1,0,0,15,0,0
"Moses Moody","GSW",21,63,37,26,817.1,302,108,227,49,135,37,53,28,77,105,51,34,18,7,54,546,0,0
"Patrick Baldwin","GSW",20,31,15,16,225.8,122,43,109,32,84,4,6,1,39,40,11,11,6,4,14,206,0,0
"Ryan Rollins","GSW",20,12,5,7,62.1,23,7,20,3,9,6,6,3,9,12,6,16,1,1,10,36,0,0
"Stephen Curry","GSW",35,56,30,26,1941.2,1648,559,1133,273,639,257,281,39,302,341,352,179,52,20,117,2622,12,1
"Ty Jerome","GSW",25,45,22,23,815.6,309,118,242,35,90,38,41,7,71,78,135,30,23,5,64,659,0,0
