state,gdp_2019,gdp_2020,gdp_2021,gdp_2022
Alabama,203432.7,199880.8,209979.3,213264.8
Alaska,53433.8,50705.2,50869.4,49633.7
Arizona,325395.3,327178,347656,356417
Arkansas,117126.2,117268.2,123347.3,126532.2
California,2729225.8,2667220.9,2874730.8,2885627.3
Colorado,358438.5,353345.2,373763.3,385834.8
Connecticut,251568.2,235234.9,246555.9,252533.3
Delaware,64143.5,62281.8,64404.7,65754.8
District of Columbia,124597.2,122485.3,126983,129268.2
Florida,965672.5,950164.4,1029575.6,1070930.2
Georgia,557364.4,537615.8,575292.2,591257.3
Hawaii,79213.4,70109.4,74547.2,75418.3
Idaho,74162.6,75145.5,80093.8,84002.9
Illinois,775998.1,734385,780060.8,797969.1
Indiana,337902.2,327277.9,346240.9,352955.9
Iowa,173722,170957.4,179753,177090
Kansas,159826.2,158348.3,162290.9,164939.3
Kentucky,192971.9,188396.3,197818.3,201375.3
Louisiana,237044.6,218421.7,221152.7,217155.8
Maine,59553.4,59881.4,63594.5,64765.5
Maryland,368056.4,352384,368571.1,368679.8
Massachusetts,514170.8,500001,533102.1,543871.7
Michigan,467107,448455.3,481778,490318.1
Minnesota,340557.1,328489.5,346204.3,350314.5
Mississippi,100982.8,100526.9,104353.5,104535.3
Missouri,290619.5,282754.1,295687.3,300676.3
Montana,46886.2,46750.4,48976.2,49752.2
Nebraska,118603.7,118141.5,122136.1,123539.6
Nevada,156959.1,146492.5,159567.3,165455.1
New Hampshire,76819.1,75927.6,82986.3,83004.4
New Jersey,559648.8,535323.7,566893.2,581704.2
New Mexico,94897.4,92496.3,93625.1,94663.4
New York,1500833.4,1432507,1514779.2,1563043.7
North Carolina,512834.8,506658.1,541933.8,559510.1
North Dakota,56385.4,53653.6,53803.6,53125.4
Ohio,613251.4,594143.6,629287,638910
Oklahoma,201161.5,192485.5,193230,191388.1
Oregon,219588,215743.6,227979.1,234806.2
Pennsylvania,715060.7,680957.4,710973.1,726035.6
Rhode Island,53411.4,51516.1,54606,55413.3
South Carolina,213237.8,208234.1,221045,226420.1
South Dakota,46650.5,47402.4,49557.9,49809.2
Tennessee,331176.6,323454,352461.2,367776
Texas,1779781.4,1747562,1815063.6,1876327.8
Utah,172038.4,174954.7,186910,191965.2
Vermont,29940.7,29064.6,30546.8,31395.3
Virginia,489199.1,478909.3,505351,512946.3
Washington,533150.4,538856.1,575129,582171.6
West Virginia,72633.4,70444.2,71343.2,71652.4
Wisconsin,303669,293104.9,306467.4,311702.1
Wyoming,38446.6,36268.6,36400,36346.1